"ONG","ISU","Context","Tip_actor","Nr_colaborari","Nr_ISU","Descriere"
"ASOCIAȚIA ,,EDUCAT""","BN","Pandemie","community_orgs","1","1","SPRIJIN PLATFORMĂ ..UN ACOPERIȘ""  respectiv ,,SPRIJIN DE URGENȚĂ"""
"ASOCIAȚIA ,,IMPACT""","BN","Pandemie","community_orgs","1","1","SPRIJIN PLATFORMĂ ..UN ACOPERIȘ""  respectiv ,,SPRIJIN DE URGENȚĂ"""
"Asociația ,,Industrii creative""","IS","Aflux refugiați","community_orgs","1","1","A asigurat o masă caldă (prânzul) cetățeniilor străini sau apatrizii aflați în situații deosebite care provin din zona conflictului armat din Ucraina și care sunt cazați în diverse locații din mun. Iași (la solicitarea administratorilor acestora), precum și în zonele de tranzit (Gara Iași și Aeroportul Internațional Iași)."
"Asociația ,,ParentIS”","IS","Aflux refugiați","community_orgs","1","1","Administrează Centrul de Asistență Umanitară CTR Nicolina"
"ASOCIAȚIA ,,SALVATORII SUFLETELOR NIMĂNUI""","BN","Pandemie","volunteer_groups","1","1","SPRIJIN PLATFORMĂ ..UN ACOPERIȘ""  respectiv ,,SPRIJIN DE URGENȚĂ"""
"ASOCIAȚIA ,,TINERI PENTRU COMUNITATE""","BN","Pandemie","community_orgs","1","1","SPRIJIN PLATFORMĂ ..UN ACOPERIȘ""  respectiv ,,SPRIJIN DE URGENȚĂ"""
"Asociația ,,Zi de Bine”","IS","Aflux refugiați","community_orgs","1","1","A finanțat spațiul de joacă din cadrul Centrului de Asistență Umanitară CTR Nicolina"
"Asociația ,,Zâmbetul Nostru”","IS","Aflux refugiați","community_orgs","1","1","Administrează Centrul de Asistență Umanitară CTR Nicolina"
"Asociația Adonai","BH","Aflux refugiați","community_orgs","1","1","asigurare spații de cazare și masă"
"Asociația Ajutorul Creștin din România","BH","Aflux refugiați","faith_based","1","1","asigurare spații de cazare și masă"
"Asociația ANAID","BIF","Aflux refugiați","community_orgs","1","1","Asigurare hrană, apă, transport , cazare, translatori"
"Asociația Apha Smart Food","MS","Aflux refugiați","community_orgs","1","1","Asigurare hrană"
"Asociația Ascotid","MS","Aflux refugiați","community_orgs","1","1","Colectare și distribuire de ajutoare umanitare pentru refugiați, colectarea de fonduri în vederea achiziționării medicamentelor necesare, constituirea împreună cu ONG-urile Fundația Comunitară Mureș, Asociația Divers și Asociația Suryam a unui HUB la nivelul județului Mureș pentru întrajutorarea refugiaților, Organizarea de activități culturale pentru copii, Identificarea și punerea la dispoziția inspectoratului de translatori vorbitori de limba ucraineană, Identificarea de spații de cazare pentru refugiați, Colectarea și trimiterea de ajutoare umanitare în Ucraina, Asigurarea transportului refugiaților din punctele de trecere a frontierelor către spațiile de cazare-primire"
"Asociația Blondie","BIF","Aflux refugiați","community_orgs","1","1","Transport, cazare, hrănire, asistență medicală, asigurare îmbrăcăminte, asigurare articole pentru copii"
"Asociația Bunul samaritean Nicorești","GL","Aflux refugiați","faith_based","1","1","a asigurat cazare pentru refugiați/ISU a transportat refugiați de la/către centrul de cazare"
"Asociația Caradja Cantacuzino","BIF","Aflux refugiați","community_orgs","1","1","Transport, cazare, hrănire, asistență medicală, asigurare îmbrăcăminte, asigurare articole pentru copii"
"Asociația Casa Bătrâneții Liniștite","BH","Aflux refugiați","community_orgs","1","1","asigurare spații de cazare și masă"
"Asociația CASA SHALOM","BIF","Aflux refugiați","faith_based","1","1","Asigurare  cazare  și  hrănire în spațiile proprii puse la dispozitie"
"Asociația Centre of Hope, Dorohoi","BT","Aflux refugiați","community_orgs","1","1","spații de cazare puse la dispoziția cetățenilor străini sau apatrizii aflați în situații deosebite care provin din zona conflictului armat din Ucraina"
"Asociația Centrul Creștin Brașov","BV","Aflux refugiați","faith_based","1","1","Implicati in amenajare spatii cazare, cumparaturi, gatit, curatenie, administrare imobil, organizare depozit haine/alimente"
"Asociația Cetatea Voluntarilor","AR","Pandemie","volunteer_groups","1","1","Asigurarea protecției personalului propriu, personalului medical și a altor instituții implicate în gestionarea situației create de pandemie. ONG-ul, a sprijinit toate aceste instituții prin achiziția și donarea mijloacelor de protecție individuală (măști, combinezoane, viziere de protecție, mănuși), substanțe și produse de curățenie."
"Asociația Cltura în Mișcare","BH","Aflux refugiați","community_orgs","1","1","asigurare spații de cazare și masă"
"Asociația Creștină ”Pentru Tine”, Botoșani","BT","Aflux refugiați","faith_based","1","1","spații de cazare puse la dispoziția cetățenilor străini sau apatrizii aflați în situații deosebite care provin din zona conflictului armat din Ucraina"
"Asociația Divers","MS","Aflux refugiați","community_orgs","1","1","Colectare și distribuire de ajutoare umanitare pentru refugiați, colectarea de fonduri în vederea achiziționării medicamentelor necesare, constituirea împreună cu ONG-urile Fundația Comunitară Mureș, Asociația Divers și Asociația Suryam a unui HUB la nivelul județului Mureș pentru întrajutorarea refugiaților, Organizarea de activități culturale pentru copii, Identificarea și punerea la dispoziția inspectoratului de translatori vorbitori de limba ucraineană, Identificarea de spații de cazare pentru refugiați, Colectarea și trimiterea de ajutoare umanitare în Ucraina, Asigurarea transportului refugiaților din punctele de trecere a frontierelor către spațiile de cazare-primire"
"Asociația Educația te Salvează Brașov","BV","Aflux refugiați","volunteer_groups","1","1","Implicati in amenajare spatii cazare, cumparaturi, gatit, curatenie, administrare imobil, organizare depozit haine/alimente"
"Asociația Educație Europeană","MH","Aflux refugiați","community_orgs","1","1","- COLECTARE AJUTOARE PENTRU CONFLICTUL MILITAR RUSO-UCRAINEAN"
"ASOCIAȚIA FILANTROPIA HUȘI","VS","Aflux refugiați","community_orgs","1","1","asigurare mijloace de subzistență, consiliere,cazare,
transport și medicamente"
"Asociația Gateway to Hope Romania","CL","Aflux refugiați","international","1","1","Colaborarea cu Asociația Gateway to Hope a permis o reacție rapidă în contextul volatil și urgent al crizei refugiaților, asigurând unui număr considerabil de refugiați spații de cazare dotate cu facilități esențiale, alimentație adecvată și condiții sanitare corespunzătoare.  Informarea și orientarea refugiaților cu privire la serviciile disponibile și drepturile lor în țara gazdă, ei fiind îndrumați către resursele necesare pentru integrare și adaptare."
"Asociația Gospel for Eastern Europe Brașov","BV","Aflux refugiați","faith_based","1","1","Implicati in amenajare spatii cazare, cumparaturi, gatit, curatenie, administrare imobil, organizare depozit haine/alimente"
"Asociația Happy Rădeni Frumușica","BT","Aflux refugiați","community_orgs","1","1","spații de cazare puse la dispoziția cetățenilor străini sau apatrizii aflați în situații deosebite care provin din zona conflictului armat din Ucraina"
"Asociația Help4Change","MS","Aflux refugiați","community_orgs","1","1","Colectare și distribuire de ajutoare umanitare pentru refugiați, colectarea de fonduri în vederea achiziționării medicamentelor necesare, constituirea împreună cu ONG-urile Fundația Comunitară Mureș, Asociația Divers și Asociația Suryam a unui HUB la nivelul județului Mureș pentru întrajutorarea refugiaților, Organizarea de activități culturale pentru copii, Identificarea și punerea la dispoziția inspectoratului de translatori vorbitori de limba ucraineană, Identificarea de spații de cazare pentru refugiați, Colectarea și trimiterea de ajutoare umanitare în Ucraina, Asigurarea transportului refugiaților din punctele de trecere a frontierelor către spațiile de cazare-primire"
"Asociația Icelanding BHBL România","MS","Aflux refugiați","international","1","1","Colectare și distribuire de ajutoare umanitare pentru refugiați, colectarea de fonduri în vederea achiziționării medicamentelor necesare, constituirea împreună cu ONG-urile Fundația Comunitară Mureș, Asociația Divers și Asociația Suryam a unui HUB la nivelul județului Mureș pentru întrajutorarea refugiaților, Organizarea de activități culturale pentru copii, Identificarea și punerea la dispoziția inspectoratului de translatori vorbitori de limba ucraineană, Identificarea de spații de cazare pentru refugiați, Colectarea și trimiterea de ajutoare umanitare în Ucraina, Asigurarea transportului refugiaților din punctele de trecere a frontierelor către spațiile de cazare-primire"
"Asociația Integra România","SB","Aflux refugiați","community_orgs","1","1","Cooperarea privind transportul de diverse mărfuri pentru cetățenii din Ucraina"
"Asociația JCI Tg. Mureș","MS","Aflux refugiați","community_orgs","1","1","Colectare și distribuire de ajutoare umanitare pentru refugiați, colectarea de fonduri în vederea achiziționării medicamentelor necesare, constituirea împreună cu ONG-urile Fundația Comunitară Mureș, Asociația Divers și Asociația Suryam a unui HUB la nivelul județului Mureș pentru întrajutorarea refugiaților, Organizarea de activități culturale pentru copii, Identificarea și punerea la dispoziția inspectoratului de translatori vorbitori de limba ucraineană, Identificarea de spații de cazare pentru refugiați, Colectarea și trimiterea de ajutoare umanitare în Ucraina, Asigurarea transportului refugiaților din punctele de trecere a frontierelor către spațiile de cazare-primire"
"Asociația Kairos - Uniunea crestinilor dupa Evanghelie","SV","Aflux refugiați","faith_based","1","1","distribuirea de alimente neperisabile și apă îmbuteliată"
"Asociația Kasper Daniela Brașov","BV","Aflux refugiați","community_orgs","1","1","Implicati in amenajare spatii cazare, cumparaturi, gatit, curatenie, administrare imobil, organizare depozit haine/alimente"
"Asociația KINDER IN NOT-CON I BIMBI Pomârla","BT","Aflux refugiați","international","1","1","spații de cazare puse la dispoziția cetățenilor străini sau apatrizii aflați în situații deosebite care provin din zona conflictului armat din Ucraina"
"Asociația Little People România","CJ","Pandemie","community_orgs","1","1","Altele"
"Asociația Lumina Lumii","MS","Aflux refugiați","faith_based","1","1","Identificarea de spații de cazare pentru refugiați, Organizarea de activități culturale, Asigurarea de hrană și articolelor de strictă necesitate"
"Asociația Lumina pentru Copii, Șendriceni","BT","Aflux refugiați","community_orgs","1","1","spații de cazare puse la dispoziția cetățenilor străini sau apatrizii aflați în situații deosebite care provin din zona conflictului armat din Ucraina"
"Asociația Maria Andrea","TL","Aflux refugiați","community_orgs","1","1","Asigurare materiale logistică"
"ASOCIAȚIA MGM","SV","Aflux refugiați","community_orgs","1","1","asistență persoane"
"Asociația Militarilor Veterani Galați","GL","Aflux refugiați","community_orgs","1","1","a asigurat cazare pentru refugiați/ISU a transportat refugiați de la/către centrul de cazare"
"Asociația Mișcare de Tabără Yuppi","CJ","Pandemie","community_orgs","1","1","Produse alimentare"
"Asociația Mâini întinse","TL","Aflux refugiați","community_orgs","1","1","Sprijin transport și cazare"
